"pa","pv","tmni","tmxv"
325,40,2.15,31
292,36,2.74,31.79
350,38,1.61,31.09
305,36,2.67,31.29
319,38,2.9,30.63
285,36,1.92,31.26
330,40,2.03,30.92
292,37,2.84,31.57
305,36,2.86,31.72
356,39,1.96,30.93
327,38,1.56,31.06
304,37,2.81,31.49
290,36,2.72,31.96
332,38,3.09,31.04
311,39,1.85,31.22
300,36,2.42,31.68
354,39,1.51,30.74
314,37,2.39,31.33
288,35,2.87,32.08
309,38,2.27,31.25
378,41,1.29,30.65
304,37,2.68,31.12
315,37,3.07,31.28
296,37,2.11,31.41
370,40,1.82,30.65
333,39,1.76,31.02
352,39,1.7,30.71
293,37,2.38,31.49
355,39,1.95,30.72
325,38,2.51,31.19
350,38,2.6,30.99
299,38,2.39,31.29
372,40,1.47,30.61
334,39,1.27,30.9
282,35,2.81,31.54
373,39,1.94,30.94
291,37,2.42,31.42
351,39,1.42,30.64
337,39,2.46,30.54
316,38,2.04,30.95
314,36,2.55,30.98
326,40,1.88,30.76
292,37,2.29,31.43
352,40,1.2,30.53
315,38,1.92,30.76
281,34,2.86,31.98
327,40,1.91,30.73
306,38,2.45,31.26
342,40,1.27,30.51
330,39,1.52,30.85
296,34,2.91,31.63
310,39,1.84,30.95
382,41,1.31,30.3
324,39,1.31,30.56
301,36,1.73,31.2
355,37,2.74,31.29
288,38,2.15,31.18
354,40,1.19,30.31
335,39,1.55,30.71
324,36,2.61,31.55
303,38,1.89,30.9
396,42,0.86,29.91
325,40,1.34,30.51
279,33,2.94,31.88
316,39,2.1,30.79
367,41,1.81,30.31
329,40,1.28,30.43
306,36,1.79,31.04
370,37,2.37,31.14
306,39,2.02,30.86
348,41,0.91,30.14
332,39,1.42,30.69
311,35,2.72,31.4
312,39,2.03,30.77
326,39,1.69,30.69
354,42,1.18,29.93
331,39,1.3,30.77
313,35,2.57,31
319,39,2.12,30.67
306,39,2.05,30.76
350,41,0.91,29.92
338,41,1.54,30.21
319,37,2.35,30.92
329,36,1.86,31.12
326,39,2.35,30.6
307,39,2.18,30.71
347,41,1.74,30.25
357,42,1.18,29.56
339,41,1.21,30.16
332,39,1.45,30.56
298,36,2.26,31.06
290,34,2.35,31.44
348,36,1.97,30.89
316,39,1.58,30.5
313,39,1.57,30.5
319,40,1.61,30.44
393,44,0.58,29.52
355,42,0.9,29.66
328,41,1.41,29.96
341,41,1.45,30.19
336,40,1.17,30.42
325,38,1.37,30.62
292,35,2.29,30.96
283,34,2.58,31.24
275,33,2.61,31.6
282,33,2.66,31.53
295,34,2.58,30.55
313,34,1.72,30.64
302,36,2.42,30.65
304,37,1.82,30.56
319,39,1.9,30.31
312,40,1.76,30.19
320,40,1.62,29.86
349,43,1.22,28.99
349,42,1.98,28.65
350,42,1.38,29.87
363,43,0.39,29.52
367,43,1.13,29.81
340,40,1.14,30.26
326,39,1.48,30.12
330,39,1.15,30.4
329,39,1.38,30.41
332,39,1.32,30.39
339,40,1.6,30.12
390,45,0.75,29.26
328,41,1.52,30
311,38,1.49,30.02
317,36,2.96,30.95
319,38,1.51,30.51
328,40,1.84,29.79
262,32,2.51,31.34
290,34,2.62,30.38
311,38,1.36,29.96
335,40,1.54,30.17
338,40,1.32,30.09
356,42,1.17,29.85
265,30,2.29,31.22
274,35,2.3,31.06
326,39,1.63,30.22
340,40,1.18,30.05
339,41,1.41,29.97
321,38,1.7,30.13
281,34,1.85,30.85
294,25,2.15,31.05
344,41,1.44,29.91
278,34,2.26,30.79
400,46,0.74,29.13
268,37,1.86,30.88
390,31,1.98,30.23
275,35,1.8,30.79
370,46,1,29.3
285,32,1.46,30.38
343,42,1.23,29.82
298,31,2.46,30.47
326,39,1.84,30.05
337,32,1.94,30.2
309,37,2.05,30.21
305,31,1.86,29.95
338,42,1.62,29.87
277,30,2.14,30.09
332,32,1.79,29.88
324,39,1.8,30.01
292,32,1.73,30.24
356,41,1.23,29.48
282,32,2.05,30.62
366,33,1.12,29.87
309,36,1.88,30.22
369,34,1.58,29.82
307,36,1.65,30.13
345,39,0.99,29.29
291,33,1.96,30.52
331,38,1.56,29.65
308,34,1.45,30.11
325,38,1.15,29.76
312,34,1.25,30.07
322,37,1.46,29.83
323,34,1.52,29.97
317,37,1.89,29.92
332,34,1.56,29.96
314,36,1.78,29.92
325,34,1.16,29.93
312,36,1.75,29.85
318,34,1.74,30.15
310,35,1.73,29.81
326,34,1.71,30.12
307,35,2,29.84
326,34,1.32,29.84
306,35,1.6,29.87
338,35,1.18,29.74
307,35,1.15,29.84
330,34,1.59,29.7
303,34,1.59,29.81
338,35,1.79,29.82
301,34,1.36,29.76
333,35,1.5,29.8
286,32,1.84,30.01
332,35,1.22,29.75
262,29,2.42,30.1
299,33,1.5,29.71
320,35,1.21,29.58
353,37,1.44,29.45
319,34,1.34,29.17
352,36,0.96,29.53
405,38,1.08,28.93
